경락일시,도매시장,법인,부류,품목,품종,출하지,규격,거래량,경락가
2020-02-28 16:08:34,서울가락,서울청과㈜,과실류,포도,기타포도,칠레,8kg 상자,102,47000
2020-02-28 16:06:47,서울가락,서울청과㈜,과실류,참다래(키위),그린,,10kg 파렛트,60,16000
2020-02-28 16:06:47,서울가락,서울청과㈜,과실류,참다래(키위),그린,,10kg 파렛트,60,18000
2020-02-28 16:06:47,서울가락,서울청과㈜,과실류,참다래(키위),그린,,10kg 파렛트,40,19000
2020-02-28 15:17:00,서울가락,서울청과㈜,과실류,바나나,바나나,필리핀,13kg 상자,54,20000
2020-02-28 15:17:00,서울가락,서울청과㈜,과실류,바나나,바나나,필리핀,13kg 상자,90,26000
2020-02-28 15:17:00,서울가락,서울청과㈜,과실류,바나나,바나나,필리핀,13kg 상자,34,22000
2020-02-28 15:17:00,서울가락,서울청과㈜,과실류,바나나,바나나,필리핀,13kg 상자,35,9500
2020-02-28 15:17:00,서울가락,서울청과㈜,과실류,바나나,바나나,필리핀,13kg 상자,54,17000
2020-02-28 15:17:00,서울가락,서울청과㈜,과실류,바나나,바나나,필리핀,13kg 상자,8,26000
2020-02-28 15:17:00,서울가락,서울청과㈜,과실류,바나나,바나나,필리핀,13kg 상자,15,27000
2020-02-28 15:17:00,서울가락,서울청과㈜,과실류,바나나,바나나,필리핀,13kg 상자,15,27000
2020-02-28 15:17:00,서울가락,서울청과㈜,과실류,바나나,바나나,필리핀,13kg 상자,30,26000
2020-02-28 15:17:00,서울가락,서울청과㈜,과실류,바나나,바나나,필리핀,13kg 상자,15,28000
2020-02-28 15:17:00,서울가락,서울청과㈜,과실류,바나나,바나나,필리핀,13kg 상자,10,28000
2020-02-28 15:17:00,서울가락,서울청과㈜,과실류,바나나,바나나,필리핀,13kg 상자,30,25000
2020-02-28 15:17:00,서울가락,서울청과㈜,과실류,바나나,바나나,필리핀,13kg 상자,30,24000
2020-02-28 15:17:00,서울가락,서울청과㈜,과실류,바나나,바나나,필리핀,13kg 상자,30,29000
2020-02-28 15:17:00,서울가락,서울청과㈜,과실류,바나나,바나나,필리핀,13kg 상자,50,28000
2020-02-28 15:17:00,서울가락,서울청과㈜,과실류,바나나,바나나,필리핀,13kg 상자,60,22000
2020-02-28 15:17:00,서울가락,서울청과㈜,과실류,바나나,바나나,필리핀,13kg 상자,60,22000
2020-02-28 15:17:00,서울가락,서울청과㈜,과실류,바나나,바나나,필리핀,13kg 상자,6,30000
2020-02-28 15:17:00,서울가락,서울청과㈜,과실류,바나나,바나나,필리핀,13kg 상자,2,30000
2020-02-28 15:17:00,서울가락,서울청과㈜,과실류,바나나,바나나,필리핀,13kg 상자,10,30000
2020-02-28 15:17:00,서울가락,서울청과㈜,과실류,바나나,몽키,필리핀,5kg 상자,1,22000
2020-02-28 15:17:00,서울가락,서울청과㈜,과실류,바나나,바나나,필리핀,13kg 상자,1,29000
2020-02-28 15:17:00,서울가락,서울청과㈜,과실류,바나나,몽키,필리핀,5kg 상자,1,20000
2020-02-28 15:17:00,서울가락,서울청과㈜,과실류,바나나,바나나,필리핀,13kg 상자,5,30000
